name,first_name,last_name,birth_city,birth_state,birth_country,birth_date,college,draft_team,draft_round,draft_pick,draft_year,position,height,weight,death_date,death_city,death_state,death_country,year_start,year_end
Jim Karcher,Jim,Karcher,Forest,OH,USA,5/2/1914,Ohio St.,,,,,G,Jun-00,207,8/19/1997,St. Louis Park,MN,,1938,1938
Ken Karcher,Ken,Karcher,Pittsburgh,PA,USA,7/1/1963,Notre Dame,,,,,QB,3-Jun,205,,,,,1938,1938
Bull Karcis,Bull,Karcis,Monaca,PA,USA,12/3/1908,Carnegie Mellon,,,,,FB-BB-HB,9-May,223,9/4/1973,Pittsburgh,PA,,1938,1938
Carl Karilivacz,Carl,Karilivacz,Glen Cove,NY,USA,11/20/1930,Syracuse,Detroit Lions,23rd,277th,1953,DB-HB,Jun-00,188,8/30/1969,Glen Cove,NY,,1938,1938
Deji Karim,Deji,Karim,Oklahoma City,OK,USA,11/11/1986,Southern Illinois,Jacksonville Jaguars,6th,180th,2010,RB,11-May,200,,,,,1938,1938
Rich Karlis,Rich,Karlis,Salem,OH,USA,5/23/1959,Cincinnati,,,,,K,Jun-00,180,,,,,1938,1938
Mike Karmazin,Mike,Karmazin,Manown,PA,USA,7/16/1919,Duke,Boston Yanks,24th,222nd,1946,G,11-May,210,1/21/2004,New Orleans,LA,,1938,1938
Mike Karney,Mike,Karney,San Jose,CA,USA,7/6/1981,Arizona St.,New Orleans Saints,5th,156th,2004,FB,11-May,254,,,,,1938,1938
Abe Karnofsky,Abe,Karnofsky,Oxnard,CA,USA,9/22/1922,Arizona,,,,,QB-HB-DB,10-May,175,,,,,1938,1938
Keith Karpinski,Keith,Karpinski,Southfield,MI,USA,10/12/1966,Penn St.,Detroit Lions,11th,282nd,1989,LB,3-Jun,255,,,,,1938,1938
Ed Karpowich,Ed,Karpowich,Duquesne,PA,USA,9/28/1912,Catholic,Pittsburgh Pirates,8th,66th,1936,T,4-Jun,220,11/16/2005,,,,1938,1938
Bill Karr,Bill,Karr,Ripley,WV,USA,3/29/1911,West Virginia,,,,,E,1-Jun,190,10/29/1979,Clendenin,WV,,1938,1938
Alex Karras,Alex,Karras,Gary,IN,USA,7/15/1935,Iowa,Detroit Lions,1st,10th,1958,DT,2-Jun,248,10/10/2012,Los Angeles,CA,USA,1938,1938
Johnny Karras,Johnny,Karras,Chicago,IL,USA,1/29/1928,Illinois,Chicago Cardinals,2nd,16th,1952,HB,11-May,187,11/6/2008,,,,1938,1938
Lou Karras,Lou,Karras,Gary,IN,USA,9/19/1927,Purdue,Washington Redskins,3rd,32nd,1950,DT,4-Jun,241,,,,,1938,1938
Ted Karras,Ted,Karras,Gary,IN,USA,1/31/1934,Indiana,,,,,G-T-LB,1-Jun,245,,,,,1938,1938
Ted Karras,Ted,Karras,Gary,IN,USA,12/10/1964,Northwestern,,,,,DT,2-Jun,265,,,,,1938,1938
John Karrs,John,Karrs,Pittsburgh,PA,USA,9/19/1915,Duquesne,,,,,BB,1-Jun,210,,,,,1938,1938
George Karstens,George,Karstens,Chicago,IL,USA,2/9/1924,Indiana,,,,,C,4-Jun,205,12/5/2002,Bradenton,FL,,1938,1938
Keith Kartz,Keith,Kartz,Las Vegas,NV,USA,5/5/1963,California,,,,,C-G-T,4-Jun,270,,,,,1938,1938
Jack Karwales,Jack,Karwales,Chicago,IL,USA,6/22/1920,Michigan,,,,,E,Jun-00,215,12/31/2004,Chicago,IL,,1938,1938
Nick Kasa,Nick,Kasa,,,,11/5/1990,Colorado,Oakland Raiders,6th,172nd,2013,TE,6-Jun,269,,,,,2013,2013
Mike Kasap,Mike,Kasap,Oglesby,IL,USA,11/20/1922,Illinois,Detroit Lions,12th,115th,1945,T,2-Jun,255,10/20/1994,La Salle,IL,,2013,2013
John Kasay,John,Kasay,Athens,GA,USA,10/27/1969,Georgia,Seattle Seahawks,4th,98th,1991,K,10-May,198,,,,,2013,2013
Alain Kashama,Alain,Kashama,Montreal,,Canada,12/8/1979,Michigan,,,,,DE,4-Jun,270,,,,,2013,2013
Tony Kaska,Tony,Kaska,Johnston City,IL,USA,7/1/1911,Illinois Wesleyan,,,,,BB-HB,11-May,193,8/9/1994,Marin County,CA,,2013,2013
Ed Kasky,Ed,Kasky,Brooklyn,NY,USA,6/22/1919,Villanova,,,,,T,1-Jun,220,12/27/1997,Brigantine,NJ,,2013,2013
Cy Kasper,Cy,Kasper,Fairbault,MN,USA,1895-05-27,Notre Dame,,,,,HB,10-May,170,12/28/1991,Bismarck,ND,,2013,2013
Kevin Kasper,Kevin,Kasper,Hinsdale,IL,USA,12/23/1977,Iowa,Denver Broncos,6th,190th,2001,WR,1-Jun,197,,,,,2013,2013
Dick Kasperek,Dick,Kasperek,St. Peter,MN,USA,2/6/1943,Iowa St.,St. Louis Cardinals,16th,238th,1966,C,3-Jun,225,,,,,2013,2013
Chuck Kassel,Chuck,Kassel,Chicago,IL,USA,1/20/1903,Illinois,,,,,E,1-Jun,191,11/30/1977,Elgin,IL,,2013,2013
Brad Kassell,Brad,Kassell,Llano,TX,USA,1/7/1980,North Texas,,,,,LB,3-Jun,242,,,,,2013,2013
Karl Kassulke,Karl,Kassulke,Milwaukee,WI,USA,3/20/1941,Marquette,Detroit Lions,11th,152nd,1963,DB,Jun-00,195,10/27/2008,Eagan,MN,,2013,2013
Leo Katalinas,Leo,Katalinas,Shenandoah,PA,USA,2/4/1915,Catholic,,,,,T-G,2-Jun,240,7/7/1977,Newark,NJ,,1938,1938
Jim Katcavage,Jim,Katcavage,Wilkes-Barre,PA,USA,10/28/1934,Dayton,New York Giants,4th,45th,1956,DE-DT,3-Jun,237,2/22/1995,Maple Glen,PA,,1938,1938
Joe Katchik,Joe,Katchik,Plymouth,PA,USA,1/9/1931,Notre Dame,Los Angeles Rams,10th,118th,1954,DT,9-Jun,290,,,,,1938,1938
Norm Katnik,Norm,Katnik,Tucson,AZ,USA,7/2/1981,USC,,,,,C,4-Jun,280,,,,,1938,1938
Mike Katolin,Mike,Katolin,Pasadena,CA,USA,1/30/1958,San Jose St.,,,,,C,3-Jun,255,,,,,1938,1938
Mike Katrishen,Mike,Katrishen,Hazelton,PA,USA,5/7/1922,Alabama,Washington Redskins,10th,78th,1948,G,1-Jun,214,,,,,1938,1938
Eric Kattus,Eric,Kattus,Cincinnati,OH,USA,3/4/1963,Michigan,Cincinnati Bengals,4th,91st,1986,TE,5-Jun,240,,,,,1938,1938
Matt Katula,Matt,Katula,Brookfield,WI,USA,8/22/1982,Wisconsin,,,,,C,6-Jun,280,,,,,1938,1938
Andy Katzenmoyer,Andy,Katzenmoyer,Westerville,OH,USA,12/2/1977,Ohio St.,New England Patriots,1st,28th,1999,LB,3-Jun,255,,,,,1938,1938
Kani Kauahi,Kani,Kauahi,Kekaha,HI,USA,9/6/1959,Arizona St.,,,,,C,2-Jun,268,,,,,1982,1993
John Kauffman,John,Kauffman,Miamisburg,OH,USA,11/27/1906,none,,,,,T-G,,,10/19/1982,Englewood,CO,,1982,1993
Jake Kaufman,Jake,Kaufman,,,,,none,,,,,T,,,,,,,1982,1993
Mel Kaufman,Mel,Kaufman,Los Angeles,CA,USA,2/24/1958,Cal Poly-San Luis Obispo,,,,,LB,2-Jun,221,2/7/2009,Santa Magarita,CA,,1982,1993
Napoleon Kaufman,Napoleon,Kaufman,Kansas City,MO,USA,6/7/1973,Washington,Oakland Raiders,1st,18th,1995,RB,9-May,185,,,,,1982,1993
Steve Kaufusi,Steve,Kaufusi,Nuku'Alofa,,Tonga,10/17/1963,BYU,Philadelphia Eagles,12th,319th,1988,DE-DT,4-Jun,274,,,,,1982,1993
Thom Kaumeyer,Thom,Kaumeyer,La Jolla,CA,USA,3/17/1967,Oregon,Los Angeles Rams,6th,148th,1989,DB,11-May,187,,,,,1982,1993
Jerry Kauric,Jerry,Kauric,Windsor,,Canada,6/28/1963,none,,,,,K,Jun-00,210,,,,,1982,1993
Ken Kavanaugh,Ken,Kavanaugh,Little Rock,AR,USA,11/23/1916,LSU,Chicago Bears,3rd,22nd,1940,E,3-Jun,207,1/25/2007,Sarasota,FL,,1940,1950
George Kavel,George,Kavel,Wendel,PA,USA,3/3/1910,Carnegie Mellon,,,,,HB,11-May,170,7/17/1995,Sarasota,FL,,1940,1950
Eddie Kaw,Eddie,Kaw,Houston,TX,USA,1897-01-18,Cornell,,,,,TB-HB,11-May,185,12/13/1971,Walnut Creek,CA,,1924,1924
Eddie Kawal,Eddie,Kawal,Cicero,IL,USA,10/13/1909,Illinois,,,,,C,2-Jun,205,9/25/1960,Oak Park,IL,,1924,1924
Bill Kay,Bill,Kay,Detroit,MI,USA,1/10/1960,Purdue,Houston Oilers,6th,159th,1981,DB,1-Jun,190,,,,,1981,1984
Clarence Kay,Clarence,Kay,Seneca,SC,USA,7/30/1961,Georgia,Denver Broncos,7th,186th,1984,TE,2-Jun,237,,,,,1981,1984
Rick Kay,Rick,Kay,Henderson,NV,USA,11/10/1949,Colorado,,,,,LB,4-Jun,235,9/3/1998,,,,1981,1984
Muadianvita Kazadi,Muadianvita,Kazadi,Kinshasa,,Zaire,12/20/1973,Tulsa,St. Louis Rams,6th,179th,1997,LB,2-Jun,240,,,,,1997,1997
Duce Keahey,Duce,Keahey,Grand Saline,TX,USA,1/20/1917,George Washington,,,,,T,2-Jun,215,4/1/1999, , ,,1942,1942
Jim Keane,Jim,Keane,Bellaire,OH,USA,1/11/1924,Iowa,Chicago Bears,18th,182nd,1945,E-DE,4-Jun,217,3/8/2011,McHenry,IL,,1942,1942
Tom Keane,Tom,Keane,Bellaire,OH,USA,9/7/1926,Ohio St.,Los Angeles Rams,3rd,18th,1948,DB-E,1-Jun,192,6/19/2001,Miami,FL,,1942,1942
Jim Kearney,Jim,Kearney,Wharton,TX,USA,1/21/1943,Prairie View,Detroit Lions,11th,151st,1965,DB,2-Jun,206,,,,,1942,1942
Tim Kearney,Tim,Kearney,Kingsford,MI,USA,11/5/1950,Northern Michigan,Dallas Cowboys,4th,83rd,1972,LB,2-Jun,227,,,,,1942,1942
Tom Kearns,Tom,Kearns,Bedford,MA,USA,11/26/1920,Miami (FL),New York Giants,8th,68th,1942,T,4-Jun,247,2/17/2007,Fort Lauderdale,FL,,1942,1942
Frank Kearse,Frank,Kearse,,,,10/28/1988,Alabama A&M,Miami Dolphins,7th,231st,2011,DT,4-Jun,315,,,,,1942,1942
Jermaine Kearse,Jermaine,Kearse,,,,2/6/1990,Washington,,,,,WR,1-Jun,209,,,,,1942,1942
Jevon Kearse,Jevon,Kearse,Fort Myers,FL,USA,9/3/1976,Florida,Tennessee Titans,1st,16th,1999,DE,4-Jun,265,,,,,1942,1942
Tim Kearse,Tim,Kearse,York,PA,USA,10/24/1959,San Jose St.,San Diego Chargers,11th,303rd,1983,WR,10-May,186,,,,,1942,1942
Zak Keasey,Zak,Keasey,Clarkston,MI,USA,3/19/1982,Princeton,,,,,LB,Jun-00,240,,,,,1942,1942
Michael Keathley,Michael,Keathley,Arlington,TX,USA,3/9/1978,TCU,,,,,G,4-Jun,296,,,,,1942,1942
Bill Keating,Bill,Keating,Chicago,IL,USA,11/22/1944,Michigan,,,,,DT-G,2-Jun,242,,,,,1942,1942
Chris Keating,Chris,Keating,Boston,MA,USA,10/12/1957,Maine,,,,,LB,2-Jun,223,,,,,1942,1942
Tom Keating,Tom,Keating,Chicago,IL,USA,9/2/1942,Michigan,Kansas City Chiefs,5th,34th,1964,DT,2-Jun,247,8/31/2012,Denver,CO,,1942,1942
Curtis Keaton,Curtis,Keaton,Columbus,OH,USA,10/18/1976,West Virginia,Cincinnati Bengals,4th,97th,2000,RB,10-May,220,,,,,1942,1942
Stan Keck,Stan,Keck,Greensburg,PA,USA,1897-09-11,Princeton,,,,,G-T,11-May,205,1/20/1951,Pittsburgh,PA,,1923,1923
Val Keckin,Val,Keckin,Los Angeles,CA,USA,2/12/1938,Southern Miss,Green Bay Packers,11th,152nd,1961,QB,4-Jun,215,,,,,1923,1923
Dan Kecman,Dan,Kecman,Pittsburgh,PA,USA,6/10/1948,Maryland,,,,,LB,2-Jun,230,,,,,1923,1923
Jerry Keeble,Jerry,Keeble,St. Louis,MO,USA,8/19/1963,Minnesota,,,,,LB,3-Jun,230,,,,,1987,1987
Joe Keeble,Joe,Keeble,Cleburne,TX,USA,8/29/1909,UCLA,,,,,HB-FB,Jun-00,190,4/27/1984,San Luis Obispo,CA,,1987,1987
Emmett Keefe,Emmett,Keefe,Raub,IN,USA,1893-04-28,Notre Dame,,,,,G,10-May,195,9/11/1965,Chicago,IL,,1987,1987
Jack Keefer,Jack,Keefer,Olney,IL,USA,5/1/1900,Michigan,,,,,TB-HB-FB,9-May,172,8/3/1966,Dayton,OH,,1987,1987
Mark Keel,Mark,Keel,Fort Worth,TX,USA,10/1/1961,Arizona,New England Patriots,9th,240th,1983,TE,4-Jun,228,,,,,1987,1987
Ray Keeling,Ray,Keeling,Dallas,TX,USA,8/24/1915,Texas,,,,,T-G,3-Jun,242,4/1/1996,Littlefield,TX,,1987,1987
Rex Keeling,Rex,Keeling,Dallas,TX,USA,9/9/1943,Samford,Houston Oilers,16th,398th,1967,P,4-Jun,205,6/3/2010,Fort Payne,AL,,1987,1987
Rabbit Keen,Rabbit,Keen,Stillwell,OK,USA,12/10/1914,Arkansas,,,,,QB,9-May,170,6/4/1984,Overland Park,KS,,1987,1987
Ed Keenan,Ed,Keenan,,CT,USA,1894-10-30,Washington (MD),,,,,G,4-Jun,320,1/28/1984,Waterbury,CT,,1987,1987
Jack Keenan,Jack,Keenan,Greensboro,NC,USA,6/8/1919,South Carolina,,,,,T-G,10-May,214,2/8/1977,Nash County,NC,,1987,1987
Bob Keene,Bob,Keene,Detroit,MI,USA,8/26/1919,Detroit Mercy,,,,,B,10-May,185,,,,,1987,1987
Brad Keeney,Brad,Keeney,Augusta,GA,USA,11/20/1973,The Citadel,,,,,DT,3-Jun,294,,,,,1987,1987
Case Keenum,Case,Keenum,,,,2/17/1988,Houston,,,,,QB,2-Jun,209,,,,,1987,1987
Durwood Keeton,Durwood,Keeton,Bonham,TX,USA,8/14/1952,Oklahoma,St. Louis Cardinals,4th,85th,1974,DB,11-May,178,,,,,1987,1987
Carl Keever,Carl,Keever,Reno,NV,USA,8/17/1961,Oregon St.,,,,,LB,2-Jun,236,,,,,1987,1987
Stanford Keglar,Stanford,Keglar,Indianapolis,IN,USA,7/4/1985,Purdue,Tennessee Titans,4th,134th,2008,LB,2-Jun,239,,,,,2008,2010
Bryan Kehl,Bryan,Kehl,Salt Lake City,UT,USA,6/16/1984,BYU,New York Giants,4th,123rd,2008,LB,2-Jun,234,,,,,2008,2013
Scott Kehoe,Scott,Kehoe,Oak Lawn,IL,USA,9/20/1964,Illinois,,,,,T,4-Jun,282,,,,,2008,2013
Rick Kehr,Rick,Kehr,Phoenixville,PA,USA,6/18/1959,Carthage,,,,,G,3-Jun,285,,,,,2008,2013
Freddie Keiaho,Freddie,Keiaho,Ventura,CA,USA,12/18/1982,San Diego St.,Indianapolis Colts,3rd,94th,2006,LB,11-May,224,,,,,2006,2009
Mike Keim,Mike,Keim,Anaheim,CA,USA,11/12/1965,BYU,,,,,T,7-Jun,302,,,,,2006,2009
Brett Keisel,Brett,Keisel,Provo,UT,USA,9/19/1978,BYU,Pittsburgh Steelers,7th,242nd,2002,DE,5-Jun,285,,,,,2006,2009
Thomas Keiser,Thomas,Keiser,,,,3/28/1989,Stanford,,,,,DE,3-Jun,261,,,,,2006,2009
Brandon Keith,Brandon,Keith,,,,11/21/1984,Northern Iowa,Arizona Cardinals,7th,225th,2008,T,5-Jun,343,,,,,2006,2009
Craig Keith,Craig,Keith,Raleigh,NC,USA,4/27/1971,Lenoir-Rhyne,Pittsburgh Steelers,7th,189th,1993,TE,3-Jun,262,,,,,2006,2009
John Keith,John,Keith,Newnan,GA,USA,2/4/1977,Furman,San Francisco 49ers,4th,108th,2000,DB,Jun-00,207,,,,,2006,2009
Kenton Keith,Kenton,Keith,Lincoln,NE,USA,7/14/1980,New Mexico St.,,,,,RB,11-May,198,,,,,2006,2009
Gary Keithley,Gary,Keithley,Alvin,TX,USA,1/11/1951,Texas,St. Louis Cardinals,2nd,45th,1973,QB,3-Jun,210,,,,,2006,2009
Jim Kekeris,Jim,Kekeris,St. Louis,MO,USA,10/17/1923,Missouri,Detroit Lions,3rd,14th,1947,T,1-Jun,257,9/15/1997,Columbia,MO,,1947,1948
Jason Kelce,Jason,Kelce,,,,11/5/1987,Cincinnati,Philadelphia Eagles,6th,191st,2011,OL,3-Jun,280,,,,,2011,2013
Travis Kelce,Travis,Kelce,,,,10/5/1989,Cincinnati,Kansas City Chiefs,3rd,63rd,2013,TE,5-Jun,255,,,,,2011,2013
Louie Kelcher,Louie,Kelcher,Beaumont,TX,USA,8/23/1953,SMU,San Diego Chargers,2nd,30th,1975,DT-NT,5-Jun,291,,,,,2011,2013
Senio Kelemete,Senio,Kelemete,,,,5/10/1990,Washington,Arizona Cardinals,5th,151st,2012,T,3-Jun,307,,,,,2011,2013
Paul Kell,Paul,Kell,Princeton,IL,USA,7/8/1915,Notre Dame,Green Bay Packers,8th,69th,1939,T,2-Jun,217,5/18/1977,Eau Claire,WI,,2011,2013
Bill Kellagher,Bill,Kellagher,Locust Gap,PA,USA,8/13/1920,Fordham,,,,,FB,11-May,205,5/11/2003,DeBarry,FL,,2011,2013
Bill Kellar,Bill,Kellar,Longview,WA,USA,2/8/1956,Stanford,Kansas City Chiefs,7th,184th,1978,WR,11-May,187,,,,,2011,2013
Mark Kellar,Mark,Kellar,Chicago,IL,USA,7/17/1952,Northern Illinois,Minnesota Vikings,6th,155th,1974,RB,Jun-00,225,,,,,2011,2013
Scott Kellar,Scott,Kellar,Elgin,IL,USA,12/31/1963,Northern Illinois,Indianapolis Colts,5th,117th,1986,NT,3-Jun,282,,,,,2011,2013
Dustin Keller,Dustin,Keller,Lafayette,IN,USA,9/25/1984,Purdue,New York Jets,1st,30th,2008,TE,2-Jun,248,,,,,2011,2013
Ken Keller,Ken,Keller,Salina,PA,USA,9/12/1934,North Carolina,Philadelphia Eagles,11th,126th,1956,HB,10-May,180,12/10/1997,Youngstown,OH,,2011,2013
Larry Keller,Larry,Keller,San Benito,TX,USA,10/2/1953,Houston,San Diego Chargers,9th,214th,1975,LB,2-Jun,223,,,,,2011,2013
Mike Keller,Mike,Keller,Chicago,IL,USA,12/13/1949,Michigan,Dallas Cowboys,3rd,64th,1972,LB,4-Jun,221,,,,,2011,2013
Ernie Kellermann,Ernie,Kellermann,Cleveland,OH,USA,12/17/1943,Miami (OH),Dallas Cowboys,12th,159th,1965,DB,Jun-00,183,,,,,2011,2013
Doug Kellermeyer,Doug,Kellermeyer,Bucyrus,OH,USA,6/1/1961,BYU,,,,,G-T,3-Jun,275,,,,,2011,2013
Bill Kelley,Bill,Kelley,Becton,TX,USA,8/23/1926,Texas Tech,Green Bay Packers,23rd,223rd,1949,E,2-Jun,195,,,,,2011,2013
Bob Kelley,Bob,Kelley,Hereford,TX,USA,5/8/1930,West Texas A&M,Philadelphia Eagles,25th,293rd,1952,C,2-Jun,232,,,,,2011,2013
Brian Kelley,Brian,Kelley,Dallas,TX,USA,9/1/1951,California Lutheran,New York Giants,14th,353rd,1973,LB,3-Jun,230,,,,,2011,2013
Chris Kelley,Chris,Kelley,Lorain,OH,USA,11/13/1964,Akron,Pittsburgh Steelers,7th,178th,1987,TE,4-Jun,240,,,,,2011,2013
Doc Kelley,Doc,Kelley,Chicago,IL,USA,3/1/1902,Northwestern,,,,,TB-HB,10-May,170,7/5/1963,Chatham County,GA,,2011,2013
Ed Kelley,Ed,Kelley,Sugar Land,TX,USA,2/18/1924,Texas,New York Giants,30th,276th,1948,T,4-Jun,230,6/27/2002,Harlingen,TX,,2011,2013
Edward Kelley,Edward,Kelley,Gonzales,TX,USA,6/8/1933,Texas,Los Angeles Rams,5th,55th,1955,DB,2-Jun,195,,,,,2011,2013
Ethan Kelley,Ethan,Kelley,Sugar Land,TX,USA,2/12/1980,Baylor,New England Patriots,7th,243rd,2003,DT,2-Jun,310,,,,,2011,2013
Frank Kelley,Frank,Kelley,,,,,South Dakota St.,,,,,HB,10-May,165,,,,,2011,2013
Gorden Kelley,Gorden,Kelley,Decatur,IL,USA,6/11/1938,Georgia,,,,,LB,3-Jun,231,,,,,2011,2013
Ike Kelley,Ike,Kelley,Ludington,MI,USA,7/14/1944,Ohio St.,Philadelphia Eagles,17th,249th,1966,LB,11-May,225,,,,,2011,2013
Les Kelley,Les,Kelley,Decatur,AL,USA,12/9/1944,Alabama,New Orleans Saints,1st,26th,1967,LB,3-Jun,233,,,,,2011,2013
Mike Kelley,Mike,Kelley,Sonora,CA,USA,12/31/1959,Georgia Tech,Atlanta Falcons,6th,149th,1982,QB,3-Jun,195,,,,,2011,2013
Mike P. Kelley,Mike,P.,Westfield,MA,USA,2/27/1962,Notre Dame,Houston Oilers,3rd,82nd,1985,C-G-T,5-Jun,273,,,,,2011,2013
Kevin Kellin,Kevin,Kellin,Hampton,VA,USA,11/16/1959,Minnesota,,,,,DT,6-Jun,267,,,,,2011,2013
John Kellison,John,Kellison,Buckeye,WV,USA,1886-11-03,West Virginia Wesleyan,,,,,G-T,1-Jun,210,5/7/1971,Marlinton,WV,,2011,2013
 Kellogg,,Kellogg,,,,,,,,,,HB,,,,,,,2011,2013
Bill Kellogg,Bill,Kellogg,Pittsburgh,PA,USA,1897-03-03,Indiana (PA),,,,,HB,10-May,178,11/28/1969,Syracuse,NY,,2011,2013
Bob Kellogg,Bob,Kellogg,Wynne,AR,USA,8/4/1917,La-Monroe,,,,,TB,8-May,165,5/9/1985,Columbus,MS,,2011,2013
Clarence Kellogg,Clarence,Kellogg,,IL,USA,9/8/1911,St. Mary's (CA),,,,,FB,10-May,205,9/3/1988,Denver,CO,,2011,2013
Mike Kellogg,Mike,Kellogg,Tucson,AZ,USA,10/28/1942,Santa Clara,,,,,FB,Jun-00,220,,,,,2011,2013
Marv Kellum,Marv,Kellum,Topeka,KS,USA,6/23/1952,Wichita St.,,,,,LB,2-Jun,225,,,,,2011,2013
Ben Kelly,Ben,Kelly,Cleveland,OH,USA,9/15/1978,Colorado,Miami Dolphins,3rd,84th,2000,DB,9-May,185,,,,,2011,2013
Bob Kelly,Bob,Kelly,Chicago,IL,USA,6/6/1925,Notre Dame,Green Bay Packers,10th,81st,1947,HB-DB,10-May,190,,,,,2011,2013
Bob Kelly,Bob,Kelly,Carlsbad,NM,USA,8/18/1940,New Mexico St.,Houston Oilers,22nd,176th,1961,T-DT,2-Jun,270,,,,,2011,2013
Brian Kelly,Brian,Kelly,Las Vegas,NV,USA,1/14/1976,USC,Tampa Bay Buccaneers,2nd,45th,1998,DB,11-May,193,,,,,2011,2013
Dennis Kelly,Dennis,Kelly,,,,1/16/1990,Purdue,Philadelphia Eagles,5th,153rd,2012,OT,,,,,,,2011,2013
Ellison Kelly,Ellison,Kelly,Lake City,FL,USA,5/17/1935,Michigan St.,New York Giants,5th,59th,1959,G,1-Jun,235,,,,,2011,2013
Elmo Kelly,Elmo,Kelly,Tipton,OK,USA,2/10/1917,Wichita St.,,,,,E,1-Jun,200,12/28/1996,Shawnee,OK,,2011,2013
Eric Kelly,Eric,Kelly,Milwaukee,WI,USA,1/15/1977,Kentucky,Minnesota Vikings,3rd,69th,2001,DB,10-May,201,,,,,2011,2013
Jeff Kelly,Jeff,Kelly,La Grange,TX,USA,12/13/1975,S.F. Austin,Atlanta Falcons,6th,198th,1999,LB,11-May,242,,,,,2011,2013
Jeff Kelly,Jeff,Kelly,Deerpark,AL,USA,9/7/1979,Southern Miss,Seattle Seahawks,7th,232nd,2002,QB,1-Jun,212,,,,,2011,2013
Jim Kelly,Jim,Kelly,McKeesport,PA,USA,4/23/1942,Notre Dame,Boston Patriots,2nd,13th,1964,TE,2-Jun,218,,,,,2011,2013
Jim Kelly,Jim,Kelly,Columbia,TN,USA,8/7/1951,Tennessee St.,,,,,TE,4-Jun,212,,,,,2011,2013
Jim Kelly,Jim,Kelly,Pittsburgh,PA,USA,2/14/1960,Miami (FL),Buffalo Bills,1st,14th,1983,QB,3-Jun,217,,,,,2011,2013
Jimmy Kelly,Jimmy,Kelly,,,,,St. Louis,,,,,TB-HB,9-May,160,,,,,2011,2013
Joe Kelly,Joe,Kelly,Sun Valley,CA,USA,12/11/1964,Washington,Cincinnati Bengals,1st,11th,1986,LB,2-Jun,227,,,,,2011,2013
John Kelly,John,Kelly,Fort Lauderdale,FL,USA,3/31/1944,Florida A&M,Washington Redskins,20th,295th,1966,T,3-Jun,250,,,,,2011,2013
Leroy Kelly,Leroy,Kelly,Philadelphia,PA,USA,5/20/1942,Morgan St.,Cleveland Browns,8th,110th,1964,RB,Jun-00,202,,,,,2011,2013
Lewis Kelly,Lewis,Kelly,Lithonia,GA,USA,4/21/1977,South Carolina St.,Minnesota Vikings,7th,248th,2000,T-G,4-Jun,306,,,,,2011,2013
Malcolm Kelly,Malcolm,Kelly,Longview,TX,USA,12/30/1986,Oklahoma,Washington Redskins,2nd,51st,2008,WR,4-Jun,218,,,,,2011,2013
Maurice Kelly,Maurice,Kelly,Orangeburg,SC,USA,10/9/1972,East Tennessee St.,,,,,DB,2-Jun,205,,,,,2011,2013
Mike Kelly,Mike,Kelly,Davidson,NC,USA,1/14/1948,Davidson,,,,,TE,4-Jun,215,,,,,2011,2013
Pat Kelly,Pat,Kelly,Rochester,NY,USA,10/29/1965,Syracuse,Denver Broncos,7th,174th,1988,TE,6-Jun,252,3/27/2003,Charlottesville,VA,,2011,2013
Reggie Kelly,Reggie,Kelly,Aberdeen,MS,USA,2/22/1977,Mississippi St.,Atlanta Falcons,2nd,42nd,1999,TE,4-Jun,255,,,,,2011,2013
Rob Kelly,Rob,Kelly,Newark,OH,USA,6/21/1974,Ohio St.,New Orleans Saints,2nd,33rd,1997,DB,Jun-00,199,,,,,2011,2013
Shipwreck Kelly,Shipwreck,Kelly,Simmstown,KY,USA,7/8/1910,Kentucky,,,,,B,2-Jun,190,8/17/1986,Lighthouse Point,FL,,2011,2013
Tex Kelly,Tex,Kelly,Duncan,OK,USA,1898-10-29,none,,,,,G-T,3-Jun,220,2/4/1978,Shawnee,OK,,2011,2013
Todd Kelly,Todd,Kelly,Hampton,VA,USA,11/27/1970,Tennessee,San Francisco 49ers,1st,27th,1993,LB-DE,2-Jun,259,,,,,2011,2013
Tommy Kelly,Tommy,Kelly,Jackson,MS,USA,12/27/1980,Mississippi St.,,,,,DE-DT,6-Jun,300,,,,,2011,2013
Wild Bill Kelly,Wild,Bill,Denver,CO,USA,6/24/1905,Montana,,,,,B,10-May,184,11/14/1931,New York,NY,,2011,2013
Larry Kelm,Larry,Kelm,Corpus Christi,TX,USA,11/29/1964,Texas A&M,Los Angeles Rams,4th,108th,1987,LB,4-Jun,236,,,,,2011,2013
Chad Kelsay,Chad,Kelsay,Auburn,NE,USA,4/9/1977,Nebraska,Pittsburgh Steelers,7th,219th,1999,LB,2-Jun,252,,,,,2011,2013
Chris Kelsay,Chris,Kelsay,Auburn,NE,USA,10/31/1979,Nebraska,Buffalo Bills,2nd,48th,2003,DE,4-Jun,275,,,,,2011,2013
Matt Kelsch,Matt,Kelsch,Dougherty,IA,USA,10/4/1904,Iowa,,,,,E,11-May,190,8/8/1991,Owatonna,MN,,2011,2013
Mose Kelsch,Mose,Kelsch,Pittsburgh,PA,USA,1897-01-31,none,,,,,FB-HB,10-May,223,7/13/1935,Pittsburgh,PA,,2011,2013
Mark Kelso,Mark,Kelso,Pittsburgh,PA,USA,7/23/1963,William & Mary,Philadelphia Eagles,10th,261st,1985,DB,11-May,181,,,,,2011,2013
